area_sqft,bedrooms,bathrooms,floors,age_of_house,garage_spaces,distance_city_center,nearby_schools,crime_rate,park_distance,public_transport_score,local_income_avg,house_price
3574,1,1,1,34,2,20.302732418684062,3,2.2467119882759166,1.9001313789061476,8.635272786847777,32664,512479.849270974
3907,2,3,1,19,1,28.160397919081916,3,9.435703713161722,1.9649318271534237,3.678922005364792,51155,556622.2351596609
1260,3,3,1,1,1,7.119807867449132,5,2.245431582279478,1.9383367484399552,3.6502590345570787,90809,369687.5363249714
1694,4,2,1,17,1,3.2706113668958476,5,0.9758977565782734,2.1307151574904646,9.620005151590735,89323,444041.3807448899
1530,4,3,2,29,0,6.808782473053646,2,2.0577277866515367,3.122581373857431,9.687698025530826,56284,376932.23562860105
1495,3,3,1,28,1,6.763435473662568,2,9.119283317761141,1.0281890086178762,9.656123683896345,84354,365640.3319809306
3492,1,2,2,38,1,9.147500303770164,3,8.577958057986173,1.2485430181983328,2.2348138678126452,51305,506410.5451914473
2038,3,3,2,21,2,3.2949322925673554,5,8.943246232179433,3.2626127287468516,6.145234604993943,37576,414359.83916127216
2569,1,3,2,28,0,7.448038003162823,4,9.161789277609314,2.384562474077763,1.3280369160039531,106668,452549.15475255024
866,2,3,2,9,2,27.67760761281946,2,0.7749867245766018,0.893405536733757,7.178183253658889,104274,294419.1426724545
1638,3,2,2,19,1,26.761467504756435,2,7.1133208580849905,3.9574952673264856,7.040104044246147,43910,307605.9361212695
730,1,1,2,15,2,9.830978051266946,5,6.645212256719885,4.661317954764621,9.930930642968097,75601,249537.55889539182
1882,2,3,2,5,1,29.908357006726312,3,9.92908378981199,2.380142831837642,8.900377275010523,44471,345808.671364303
2535,3,2,2,16,1,9.30141667070601,4,7.1467422093886155,3.108747021574088,2.9636701420124796,106481,494106.6711708052
3844,4,3,2,5,0,21.793979662811314,3,7.920314117449768,4.095188095387053,4.994179644357237,114921,663661.9918151012
3571,3,2,2,21,2,19.49826025059032,0,7.149864788468392,4.8223850660630605,3.3156230247115785,60808,550324.1320274001
3319,5,3,2,17,1,2.4043472906784986,0,6.20581787884687,4.8488285357605765,1.4297121737522187,84152,604723.9666128939
530,3,2,1,31,2,10.597756957138584,5,5.530234202268462,4.621903855985236,4.442212766759754,87560,230462.89586311285
2085,5,1,2,27,0,28.569238724916254,4,9.692604276102983,4.098454820119466,1.969325322588911,34652,334281.2309200865
3780,2,1,2,9,1,2.000574531743923,0,9.363420554384968,2.186313816245314,7.884040267327943,89228,629829.3898954936
1169,3,1,2,21,0,5.659087586491869,5,4.378501638859262,3.3812483026742384,4.504830382203013,86085,314831.01980466885
2791,2,3,1,27,2,29.14290038818623,4,2.841538749916823,3.840762460543352,1.2811571646148,46630,423197.83731647965
1915,2,2,1,14,2,1.6738864155565698,0,5.090693596935267,0.5503196438722897,3.4362989856476185,120619,431140.40965333075
3885,1,3,2,28,2,13.674916775866777,1,7.461145888784168,0.6701865122601308,3.9946861202998383,67005,588774.7664391152
3253,2,3,1,6,1,27.591355649418965,2,4.009477196041857,3.556457554205535,5.078715963385733,85919,533868.9732332921
